organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,beliggenhetsadresse.adresse,beliggenhetsadresse.poststed,beliggenhetsadresse.postnummer,beliggenhetsadresse.kommune,beliggenhetsadresse.kommunenummer,beliggenhetsadresse.land,beliggenhetsadresse.landkode,registreringsdatoIEnhetsregisteret,frivilligMvaRegistrertBeskrivelser,registrertIMvaregisteret,oppstartsdato,datoEierskifte,overordnetEnhet,nedleggelsesdato
"930355097","URD ADVISORY AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","00.000","Uoppgitt","","","","","","","true","","","c/o Union Gruppen AS/nPostboks 1715","OSLO","0121","OSLO","0301","Norge","NO","c/o Union Gruppen AS/nBolette brygge 1","OSLO","0252","OSLO","0301","Norge","NO","2022-12-05","","false","2022-11-01","","828880802",""
"920117821","KDQ EIENDOM AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","Lyngveien 23","OSLO","1182","OSLO","0301","Norge","NO","2017-12-15","","false","2016-01-01","","999004660",""
"930499196","JOP BYGG AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","41.200","Oppføring av bygninger","","","","","","","true","","","","","","","","","","Tollevikbergan 3","ALTA","9511","ALTA","5601","Norge","NO","2022-12-19","","false","2022-11-18","","830466142",""
"871801142","STRIND VEISERVICE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.300","Detaljhandel med drivstoff til motorvogner","","","","","","","true","9","","","","","","","","","Kong Øysteins veg 4","TRONDHEIM","7046","TRONDHEIM","5001","Norge","NO","1995-02-23","","false","1965-12-31","2019-05-01","922601046",""
"921018843","LINDSET ENGINEERING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","71.129","Annen teknisk konsulentvirksomhet","","","","","","","false","","","","","","","","","","Lindsetvegen 12","TRESFJORD","6391","VESTNES","1535","Norge","NO","2018-06-18","","false","2018-06-01","","921002947",""
"930042854","CLAIREAUX CREATIVE WORKS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","85.522","Undervisning i kunstfag","","","","","","","false","","","","","","","","","","Øvre Fyllingsveien 17","LAKSEVÅG","5161","BERGEN","4601","Norge","NO","2022-10-17","","false","2022-09-03","","929872320",""
"925627968","WFTM AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","00.000","Uoppgitt","","","","","","","false","","","","","","","","","","Hagegata 10","HØYANGER","6993","HØYANGER","4638","Norge","NO","2020-09-14","","false","2020-08-19","","825610952",""
"923837663","HUGIN OCH MUNIN AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","70.220","Bedriftsrådgivning og annen administrativ rådgivning","","","","","","","true","","","","","","","","","","Gjønnesveien 22B","BEKKESTUA","1356","BÆRUM","3201","Norge","NO","2019-11-18","","false","2019-11-01","","923800484",""
"899049322","HOVLAND KRAFTVERK AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","35.111","Produksjon av elektrisitet fra vannkraft","","","","","","","false","","","Postboks 2389 Solheimsviken","BERGEN","5824","BERGEN","4601","Norge","NO","Solheimsgaten 15","BERGEN","5058","BERGEN","4601","Norge","NO","2012-10-24","","false","2012-03-01","2023-08-17","930226270",""
"928765091","RN MULTISERVICE AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","43.120","Grunnarbeid","","","","","","","false","","","","","","","","","","Revestien 39","VENNESLA","4707","VENNESLA","4223","Norge","NO","2022-02-19","","false","2022-02-02","","928730379",""
"929448316","THOMAS ERIKSEN MUSIC AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","59.200","Produksjon og utgivelse av musikk- og lydopptak","","","","","","","true","","","","","","","","","","c/o Thoas Erisen/nAugust Cappelens gate 3C","OSLO","0360","OSLO","0301","Norge","NO","2022-07-04","","false","2022-06-01","","916688482",""
"999164463","MATHIASSEN EIENDOM ANDØY AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","Klubbholmen 9","HARSTAD","9409","HARSTAD","5503","Norge","NO","2012-11-20","","false","2012-11-05","","999118615",""
"832797472","TRØAN AUNE TJENESTER","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","85.510","Undervisning innen idrett og rekreasjon","","","","","","","false","","","","","","","","","","Øvre Rishalla 2","STEINKJER","7716","STEINKJER","5006","Norge","NO","2024-01-09","","false","2023-12-01","","932781468",""
"999466621","PARTNER1 BEMANNING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","78.200","Utleie av arbeidskraft","","","","","","","false","","","Postboks 952","DRAMMEN","3002","DRAMMEN","3301","Norge","NO","Ilebergveien 3","DRAMMEN","3011","DRAMMEN","3301","Norge","NO","2013-01-14","","false","2011-01-01","","988682004",""
"990308292","FOSSVEIEN 14 AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","true","","","","","","","","","","Årvollveien 32B","OSLO","0590","OSLO","0301","Norge","NO","2006-09-25","","false","2006-09-01","","990269246",""
"914707315","TANNLEGE FREDRIK MAASTAD","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","86.230","Tannhelsetjenester","","","","","","","false","","","","","","","","","","Østre Totenveg 24","GJØVIK","2816","GJØVIK","3407","Norge","NO","2014-12-21","","false","2013-01-01","","994694901",""
"931773429","CHRISTENSEN-LØVENHJELM BT1","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","88.999","Andre sosialtjenester uten botilbud","","","","","","","false","","","","","","","","","","Vestfjordveien 75","VESTSKOGEN","3142","FÆRDER","3911","Norge","NO","2023-07-26","","false","2023-08-18","","931757946",""
"924887923","BJØRNTVEDTVEGEN 156 AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","Johan Schaannings gate 88","SKIEN","3746","SKIEN","4003","Norge","NO","2020-04-02","","false","2020-03-13","","924846925",""
