organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,forretningsadresse.adresse,forretningsadresse.poststed,forretningsadresse.postnummer,forretningsadresse.kommune,forretningsadresse.kommunenummer,forretningsadresse.land,forretningsadresse.landkode,institusjonellSektorkode.kode,institusjonellSektorkode.beskrivelse,sisteInnsendteAarsregnskap,registreringsdatoenhetsregisteret,stiftelsesdato,registrertIMvaRegisteret,frivilligMvaRegistrertBeskrivelser,registrertIFrivillighetsregisteret,registrertIForetaksregisteret,registrertIStiftelsesregisteret,konkurs,konkursdato,underAvvikling,underAvviklingDato,underTvangsavviklingEllerTvangsopplosning,tvangsopplostPgaManglendeDagligLederDato,tvangsopplostPgaManglendeRevisorDato,tvangsopplostPgaManglendeRegnskapDato,tvangsopplostPgaMangelfulltStyreDato,tvangsavvikletPgaManglendeSlettingDato,overordnetEnhet,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet
"982270863","BENTE MARIE SKOG","ENK","Enkeltpersonforetak","88.992","Familieverntjenester","","","","","","","false","","","","","","","","","","Ridehusgata 19","FREDRIKSTAD","1606","FREDRIKSTAD","3107","Norge","NO","8200","Personlig næringsdrivende","","2000-08-22","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Parterapi, rådgivning, kurs."
"927978768","HOFGAARDSGATE UTVIKLING AS","AS","Aksjeselskap","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","c/o Stor-Oslo Eiendom AS/nDronning Eufemias gate 16","OSLO","0191","OSLO","0301","Norge","NO","2100","Private aksjeselskaper mv.","2022","2021-10-22","2021-09-27","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2022-05-06","Investering i eiendom, aksjer og andre eierandeler i andre selskaper og foretak samt all annen virksomhet som hermed står i forbindelse.","Investering i eiendom, aksjer og andre eierandeler i andre selskaper og foretak samt all annen virksomhet som hermed står i forbindelse."
"921980728","SIMEN STEINKLEV","ENK","Enkeltpersonforetak","90.032","Selvstendig kunstnerisk virksomhet innen musikk","","","","","","","false","","","","","","","","","","Heimdalsgata 2A","OSLO","0561","OSLO","0301","Norge","NO","8200","Personlig næringsdrivende","","2018-12-28","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Skriving, produsering og utgiving av musikk, og spilling av konserter."
"819332282","STJERNERØR OG BYGG AS","AS","Aksjeselskap","41.200","Oppføring av bygninger","","","","","","","true","","www.stjernerorogbygg.no","","","","","","","","Gamle Sørlandske 322","DRAMMEN","3039","DRAMMEN","3301","Norge","NO","2100","Private aksjeselskaper mv.","2022","2017-07-31","2017-05-13","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2020-01-01","Bygge- og anleggsvirksomhet.","Oppføring av bygninger, anleggsvirksomhet, samt spesialisert bygge- og anleggsvirksomhet."
"951900478","VEST PROSJEKT- OG EIENDOMSUTVIKLING AS","AS","Aksjeselskap","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","true","","","","","","","","","","Asnesåsen 11B","SANDEFJORD","3222","SANDEFJORD","3907","Norge","NO","2100","Private aksjeselskaper mv.","2022","1995-02-19","1989-05-20","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2004-12-20","Handels-, distribusjons-, og servicevirksomhet, eiendom- og næringsutvikling, investering og deltagelse i annen forretningsvirksomhet og alt som står i forbindelse med dette, herunder deltagelse i andre selskaper.","Bedrifsrådgivning, markedsføring, salg og distribusjon av handelsvarer, investering og deltagelse i annen forretningsvirksomhet, herunder deltagelse i andre selskaper.  "
"922784760","GREEN LAWN AB","NUF","Norskregistrert utenlandsk foretak","62.020","Konsulentvirksomhet tilknyttet informasjonsteknologi","","","","","","","false","","","","","","","","","","Bälgvägen 18","136 75 VENDELSÖ","","","","Sverige","SE","","","","2019-07-04","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Konsulentvirksomhet, systemyutvikling innen IT-bransjen og bransje for miljø og sikkerhet."
"915088384","MERCUR VVS AS","AS","Aksjeselskap","43.221","Rørleggerarbeid","","","","","","","true","15","","","","","","","","","Eikenga 11","OSLO","0579","OSLO","0301","Norge","NO","2100","Private aksjeselskaper mv.","2022","2015-03-10","2015-02-28","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2018-07-31","Prosjekt- og servicevirksomhet i VVS-bransjen og import, kjøp, salg og handel med VVS-produkter og det som står i forbindelse med dette.","Prosjekt- og servicevirksomhet i VVS-bransjen og handel med VVS-produkter."
"924489278","PER CHRISTIAN MOEN HOLDING AS","AS","Aksjeselskap","00.000","Uoppgitt","","","","","","","false","","","","","","","","","","Hans Hansens vei 164","DRAMMEN","3022","DRAMMEN","3301","Norge","NO","2100","Private aksjeselskaper mv.","2022","2020-01-27","2020-01-16","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2020-01-16","Å investere i selskaper og eiendom og alt annet som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i andre foretagende.","Å investere i selskaper og eiendom og alt annet som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i andre foretagende."
"979759258","TRISHA GRYTTEN","ENK","Enkeltpersonforetak","74.300","Oversettelses- og tolkevirksomhet","","","","","","","false","","","","","","","","","","Svensenga 72","OSLO","0882","OSLO","0301","Norge","NO","8200","Personlig næringsdrivende","","1998-04-22","","true","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Oversettelse og språkbearbeidelse. Salg av strikketøy på nettet."
"992983493","SFINXEN BORETTSLAG","BRL","Borettslag","68.201","Borettslag","","","","","","","false","","www.boligsamvirket.no","Postboks 214","BODØ","8001","BODØ","1804","Norge","NO","Bjarne Eriksensvei 2","GLOMFJORD","8160","MELØY","1837","Norge","NO","8300","Borettslag o.l.","2022","2008-08-16","2008-07-01","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2018-06-06","Borettslag.","Borettslag."
"919652969","STOREBAUG HOTELL OG KRO AS","AS","Aksjeselskap","55.101","Drift av hoteller, pensjonater og moteller med restaurant","","","","","","","true","26","","","","","","","","","Storebaug 2","MOSS","1529","MOSS","3103","Norge","NO","2100","Private aksjeselskaper mv.","2022","2017-10-02","2017-09-01","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2023-06-02","Drift av hoteller, pensjonater og moteller med restaurant samt utleie av fast eiendom.","Hotell, pensjonat, motell (med restaurant). Utleie av fast eiendom."
