"path","name","description"
"C.17.2.9","Produksjon av varer av papir og papp ellers","### Shortname: Papir- og pappvareproduksjon el.

### Notes:
Inkluderer: Omfatter produksjon av etiketter, filtrerpapir og -papp, bobiner, spoler mv. av papir og papp, eggekartonger og annen støpt emballasje av papirmasse mv., produksjon av festartikler av papir og jacquardkort av papir og papp Ekskluderer: Produksjon av kortstokk grupperes under: 32.40 Produksjon av spill og leker. Produksjon av spill og leker av papir og papp grupperes under: 32.40 Produksjon av spill og leker"
"C.17.2.9.0","Produksjon av varer av papir og papp ellers","### Shortname: Papir- og pappvareproduksjon el.

### Notes:
Inkluderer: Omfatter produksjon av etiketter, filtrerpapir og -papp, bobiner, spoler mv. av papir og papp, eggekartonger og annen støpt emballasje av papirmasse mv., produksjon av festartikler av papir og jacquardkort av papir og papp Ekskluderer: Produksjon av kortstokk grupperes under: 32.40 Produksjon av spill og leker. Produksjon av spill og leker av papir og papp grupperes under: 32.40 Produksjon av spill og leker"
"C.18","Trykking og reproduksjon av innspilte opptak","### Shortname: Trykking, grafisk industri

### Notes:
Inkluderer: Omfatter trykking av produkter som aviser, bøker, tidsskrifter, formularer, gratulasjonskort og andre varer, hjelpeaktiviteter som bokbinding, produksjon av trykkplater og data imaging. De hjelpeaktivitetene som er tatt med her, er en integrert del av trykkerivirksomhet, og et produkt (en trykkplate, en innbundet bok eller en diskett eller datafil), som er en integrert del av trykkerivirksomheten og fremkommer nesten alltid ved disse aktivitetene. De prosessene som brukes innenfor trykkerivirksomhet  omfatter en rekke metoder for å overføre et bilde fra en plate, skabelon eller datafil til et medium som f.eks. papir, plast, metall, tekstiler eller tre. Den mest utbredte av disse metodene er å overføre bilde fra en plate eller en skabelon til mediet ved litografi, dyptrykk, serigrafitrykk eller det som er mindre vanlig, at disse forskjellige aktivitetene utføres i samme enhet. Inkluderer også: Omfatter også reproduksjon av innspilte medier som CD-er, videoopptak, software på disketter, CD-er eller bånd, grammofonplater mv. Ekskluderer: Forlagsvirksomhet grupperes under næringshovedområde: J Informasjon og kommunikasjon"
"C.18.1","Trykking og tjenester tilknyttet trykking","### Shortname: Trykking, tilhørende tjenester

### Notes:
Inkluderer: Omfatter trykking av aviser, bøker, tidsskrifter, formularer, gratulasjonskort og andre varer. Inkluderer også: Omfatter også hjelpeaktiviteter som bokbinding, produksjon av trykkplater og data imaging. Trykkingen kan skje med forskjellige teknikker og på forskjellige materialer."
"C.18.1.1","Trykking av aviser","### Shortname: Trykking av aviser

### Notes:
Inkluderer: Omfatter også trykking av andre tidsskrifter som kommer ut minst fire ganger i uka Ekskluderer: Utgivelse av trykksaker grupperes under: 58.1 Utgivelse av bøker, tidskrifter og annen forlagsvirksomhet. Fotokopiering av dokumenter grupperes under: 82.19 Fotokopiering, forberedelse av dokumenter og andre spesialiserte kontortjenester"
"C.18.1.1.0","Trykking av aviser","### Shortname: Trykking av aviser

### Notes:
Inkluderer: Omfatter også trykking av andre tidsskrifter som kommer ut minst fire ganger i uka Ekskluderer: Utgivelse av trykksaker grupperes under: 58.1 Utgivelse av bøker, tidskrifter og annen forlagsvirksomhet. Fotokopiering av dokumenter grupperes under: 82.19 Fotokopiering, forberedelse av dokumenter og andre spesialiserte kontortjenester"
"C.18.1.2","Trykking ellers","### Shortname: Trykking ellers

### Notes:
Inkluderer: Omfatter trykking av magasiner og andre tidsskrifter som gis ut mindre enn fire ganger i uka, trykking av bøker og brosjyrer, notehefter og partiturer, kart, atlaser, plakater, reklamekataloger, prospekter og annet trykt reklamemateriell, frimerker, gebyrmerker, identitetskort, sjekkhefter og andre verdipapirer, smartkort, albumer, dagbøker, kalendere og andre kommersielle trykksaker, personlig brevark og andre trykksaker av kopipresse, offset, fotogravyre, flexotrykk, serigrafitrykk og andre trykkemetoder, kopieringsmaskiner, printere, pregemaskiner mv. inkl. hurtigtrykking, trykking direkte på tekstiler, plast, glass, metall, tre og keramikk Inkluderer også: Omfatter også trykking av etiketter og merkelapper (litografi, dyptrykk, flexotrykk mv.) Ekskluderer: Silketrykk på tekstilvarer og klær grupperes under: 13.30 Etterbehandling av tekstiler. Produksjon av kontorartikler (notisbøker, ringpermer, kartotekkort, regnskapsbøker, formularer mv.), når den trykte teksten ikke er hovedformålet, grupperes under: 17.23 Produksjon av kontorartikler av papir. Utgivelse av trykksaker grupperes under: 58.1 Utgivelse av bøker, tidsskrifter og annen forlagsvirksomhet"
"C.18.1.2.0","Trykking ellers","### Shortname: Trykking ellers

### Notes:
Inkluderer: Omfatter trykking av magasiner og andre tidsskrifter som gis ut mindre enn fire ganger i uka, trykking av bøker og brosjyrer, notehefter og partiturer, kart, atlaser, plakater, reklamekataloger, prospekter og annet trykt reklamemateriell, frimerker, gebyrmerker, identitetskort, sjekkhefter og andre verdipapirer, smartkort, albumer, dagbøker, kalendere og andre kommersielle trykksaker, personlig brevark og andre trykksaker av kopipresse, offset, fotogravyre, flexotrykk, serigrafitrykk og andre trykkemetoder, kopieringsmaskiner, printere, pregemaskiner mv. inkl. hurtigtrykking, trykking direkte på tekstiler, plast, glass, metall, tre og keramikk Inkluderer også: Omfatter også trykking av etiketter og merkelapper (litografi, dyptrykk, flexotrykk mv.) Ekskluderer: Silketrykk på tekstilvarer og klær grupperes under: 13.30 Etterbehandling av tekstiler. Produksjon av kontorartikler (notisbøker, ringpermer, kartotekkort, regnskapsbøker, formularer mv.), når den trykte teksten ikke er hovedformålet, grupperes under: 17.23 Produksjon av kontorartikler av papir. Utgivelse av trykksaker grupperes under: 58.1 Utgivelse av bøker, tidsskrifter og annen forlagsvirksomhet"
"C.18.1.3","Ferdiggjøring før trykking og publisering","### Shortname: Ferdiggjøring før trykking og publ.

### Notes:
Inkluderer: Omfatter datainput: montering, setting, fotosetting, datainput, herunder scanning og optisk gjenkjenning av tegn, elektronisk ombrekking; fremstilling av dokumenter, skjermredigering og alle andre aktiviteter i forbindelse med produksjon av originaler; forberedelse av digitale data f.eks. forbedring, utvelging, lenking av digitale data; databehandling til multimedia-applikasjoner (f.eks. tekst, lyd, bilde); forberedelse av datafiler til bruk i forskjellige media-applikasjoner (trykking på papir, cd-rom, Internet); digital dataoverføring; produksjon av trykkplater, herunder imagesetting og platesetting (til trykkemetodene kopipresse og offset); forberedelse av sylindere: gravering eller etsing av sylindere til dyptrykk; plateprosesser: direkte på plate ('computer to plate', CPT) (også fotopolymerplater), plater og matriser til relieffpreging eller -trykk; annen ferdigbehandling som f.eks. gravering eller stempling, trykking i blindeskrift, hulling og boring, preging, lakkering og laminering, kollasjonering og innfalsing, kunstnerisk arbeid herunder litografisk stein og forberedte tresnitt; produksjon av presentasjonsmedier, f.eks. overheadtransparenter og andre digitale presentasjonsformer, utarbeiding av trykkeriprodukter, f.eks. skisser, layout, dummier mv.; korrekturtrykking Ekskluderer: Spesialisert designvirksomhet grupperes under: 74.10 Spesialisert designvirksomhet."
"C.18.1.3.0","Ferdiggjøring før trykking og publisering","### Shortname: Ferdiggjøring før trykking og publ.

### Notes:
Inkluderer: Omfatter datainput: montering, setting, fotosetting, datainput, herunder scanning og optisk gjenkjenning av tegn, elektronisk ombrekking; fremstilling av dokumenter, skjermredigering og alle andre aktiviteter i forbindelse med produksjon av originaler; forberedelse av digitale data f.eks. forbedring, utvelging, lenking av digitale data; databehandling til multimedia-applikasjoner (f.eks. tekst, lyd, bilde); forberedelse av datafiler til bruk i forskjellige media-applikasjoner (trykking på papir, cd-rom, Internet); digital dataoverføring; produksjon av trykkplater, herunder imagesetting og platesetting (til trykkemetodene kopipresse og offset); forberedelse av sylindere: gravering eller etsing av sylindere til dyptrykk; plateprosesser: direkte på plate ('computer to plate', CPT) (også fotopolymerplater), plater og matriser til relieffpreging eller -trykk; annen ferdigbehandling som f.eks. gravering eller stempling, trykking i blindeskrift, hulling og boring, preging, lakkering og laminering, kollasjonering og innfalsing, kunstnerisk arbeid herunder litografisk stein og forberedte tresnitt; produksjon av presentasjonsmedier, f.eks. overheadtransparenter og andre digitale presentasjonsformer, utarbeiding av trykkeriprodukter, f.eks. skisser, layout, dummier mv.; korrekturtrykking Ekskluderer: Spesialisert designvirksomhet grupperes under: 74.10 Spesialisert designvirksomhet."
"C.18.1.4","Bokbinding og tilknyttede tjenester","### Shortname: Bokbinding og tilkn. tjenester

### Notes:
Inkluderer: Omfatter forlagsinnbinding, prøvemontering og viderebearbeiding som hjelpeaktivitet til trykking f.eks. forlagsinnbinding av bøker, brosjyrer, magasiner, kataloger mv., ved bretting, klipping og tilskjæring, samling, hefting, klebebinding, tilskjæring og belegging, liming, kollasjonering, tråkling, trykking med gull, spiralhefting og plastinnbinding; innbinding og ferdigbearbeiding av trykt papir eller papp ved bretting, stempling, boring, hulling, perforering, preging, liming og laminering; tjenester i tilknytning til ferdigbearbeiding av CD-rom-er, tjenester i tilknytning til postutsendinger som f.eks. individuell tilpasning, forberedelse av konvolutter og sending."
"C.18.1.4.0","Bokbinding og tilknyttede tjenester","### Shortname: Bokbinding og tilkn. tjenester

### Notes:
Inkluderer: Omfatter forlagsinnbinding, prøvemontering og viderebearbeiding som hjelpeaktivitet til trykking f.eks. forlagsinnbinding av bøker, brosjyrer, magasiner, kataloger mv., ved bretting, klipping og tilskjæring, samling, hefting, klebebinding, tilskjæring og belegging, liming, kollasjonering, tråkling, trykking med gull, spiralhefting og plastinnbinding; innbinding og ferdigbearbeiding av trykt papir eller papp ved bretting, stempling, boring, hulling, perforering, preging, liming og laminering; tjenester i tilknytning til ferdigbearbeiding av CD-rom-er, tjenester i tilknytning til postutsendinger som f.eks. individuell tilpasning, forberedelse av konvolutter og sending."
"C.18.2","Reproduksjon av innspilte opptak","### Shortname: Reproduksjon av innspilte opptak"
"C.18.2.0","Reproduksjon av innspilte opptak","### Shortname: Reproduksjon av innspilte opptak

### Notes:
Inkluderer: Omfatter reproduksjon av masterkopier av grammofonplater, CD-er og lydbånd med musikk eller andre lydopptak, reproduksjon av masterkopier av grammofonplater, DVD-er og videobånd med spillefilm og andre video-opptak, reproduksjon av masterkopier av software og data på disketter, CD-rom-er og bånd Ekskluderer: Reproduksjon av trykksaker grupperes under hhv.: 18.11 Trykking av aviser og: 18.12 Trykking ellers. Utgivelse av standard programvare grupperes under: 58.2 Utgivelse av programvare. Produksjon og distribusjon av spillefilm, videofilm og spillefilm på DVD eller lignende medier grupperes under hhv.: 59.11 Produksjon av film, video og fjernsynsprogrammer,: 59.12 Etterarbeid knyttet til produksjon av film, video og fjernsynsprogrammer og: 59.13 Distribusjon av film, video og fjernsynsprogrammer. Reproduksjon av spillefilm med henblikk på distribusjon til kinoer grupperes under: 59.12 Etterarbeid knyttet til produksjon av film, video og fjernsynsprogrammer. Produksjon av masterkopier til grammofonplater eller lydmateriale grupperes under: 59.20 Produksjon og utgivelse av musikk- og lydopptak"
"C.18.2.0.0","Reproduksjon av innspilte opptak","### Shortname: Reproduksjon av innspilte opptak

### Notes:
Inkluderer: Omfatter reproduksjon av masterkopier av grammofonplater, CD-er og lydbånd med musikk eller andre lydopptak, reproduksjon av masterkopier av grammofonplater, DVD-er og videobånd med spillefilm og andre video-opptak, reproduksjon av masterkopier av software og data på disketter, CD-rom-er og bånd Ekskluderer: Reproduksjon av trykksaker grupperes under hhv.: 18.11 Trykking av aviser og: 18.12 Trykking ellers. Utgivelse av standard programvare grupperes under: 58.2 Utgivelse av programvare. Produksjon og distribusjon av spillefilm, videofilm og spillefilm på DVD eller lignende medier grupperes under hhv.: 59.11 Produksjon av film, video og fjernsynsprogrammer,: 59.12 Etterarbeid knyttet til produksjon av film, video og fjernsynsprogrammer og: 59.13 Distribusjon av film, video og fjernsynsprogrammer. Reproduksjon av spillefilm med henblikk på distribusjon til kinoer grupperes under: 59.12 Etterarbeid knyttet til produksjon av film, video og fjernsynsprogrammer. Produksjon av masterkopier til grammofonplater eller lydmateriale grupperes under: 59.20 Produksjon og utgivelse av musikk- og lydopptak"
"C.19","Produksjon av kull- og raffinerte petroleumsprodukter","### Shortname: Petroleums- og kullvareindustri

### Notes:
Inkluderer: Omfatter bearbeiding av råolje og kull til anvendelige produkter. Den viktigste prosessen er oljeraffinering som innebærer utskilling av råoljen i forskjellige mellomprodukter ved prosesser som krakking og destillering. Inkluderer også: Omfatter også produksjon av karakteristiske produkter for egen regning (f.eks. koks, butan, propan, bensin, petroleum, fyringsolje mv.) og tjenesteyting i form av bearbeiding (f.eks. kundespesifisert raffinering mv.) Næringen omfatter produksjon av gasser som f.eks. etan, propan, og butan som produkter av oljeraffinerier Ekskluderer: Utvinning av naturgass (metan, etan, butan eller propan) grupperes under: 06.20 Utvinning av naturgass. Produksjon av petrokjemiske produkter av raffinert råolje grupperes under næring: 20 Produksjon av kjemikalier og kjemiske produkter. Produksjon av industrigasser grupperes under: 20.11 Produksjon av industrigasser. Produksjon av slike gasser i andre enheter grupperes under: 20.14 Produksjon av andre organiske kjemiske råvarer. Produksjon av brenngass, unntatt oljegasser (f.eks. kullgass, vanngass, generatorgass, gassverkgass) grupperes under: 35.21 Produksjon av gass"
"C.19.1","Produksjon av kullprodukter","### Shortname: Produksjon av kullprodukter"
"C.19.1.0","Produksjon av kullprodukter","### Shortname: Produksjon av kullprodukter

### Notes:
Inkluderer: Omfatter drift av koksverk, produksjon av koks og halvkoks, bek og bekkoks, koksovnsgass, råkull og brunkulltjære og agglomerering av kull Ekskluderer: Produksjon av briketter av kull til brensel grupperes under: 19.20 Produksjon av raffinerte petroleumsprodukter"
"C.19.1.0.0","Produksjon av kullprodukter","### Shortname: Produksjon av kullprodukter

### Notes:
Inkluderer: Omfatter drift av koksverk, produksjon av koks og halvkoks, bek og bekkoks, koksovnsgass, råkull og brunkulltjære og agglomerering av kull Ekskluderer: Produksjon av briketter av kull til brensel grupperes under: 19.20 Produksjon av raffinerte petroleumsprodukter"
"C.19.2","Produksjon av raffinerte petroleumsprodukter","### Shortname: Prod. raffinerte petroleumsprodukt"
"C.19.2.0","Produksjon av raffinerte petroleumsprodukter","### Shortname: Prod. raffinerte petroleumsprodukt

### Notes:
Inkluderer: Omfatter produksjon av flytende eller gassformige brenselsstoffer eller andre produkter fra råolje, bituminøse mineraler eller deres fraksjoneringsprodukter.  Mineraloljeraffinering omfatter en eller flere av følgende aktiviteter: fraksjonering, destillering av råolje og spalting; produksjon av motorbrennstoff: bensin, petroleum mv., produksjon av brennstoff: lett, middels og tung brenselolje, gassraffinering som f.eks. etan, propan, butan mv., oljebaserte smøreoljer eller -fett herunder spillolje, produksjon av produkter til den petrokjemiske industrien og til produksjon av veidekke, produksjon av diverse produkter: mineralsk terpentin, vaselin, parafin, råoljebriketter og blandinger av biobrenselstoff, dvs. blandinger av alkoholer med råolje (f.eks. en blanding av 90% blyfri bensin og 10% etylalkohol) Ekskluderer: Omfatter også torvbriketter, magre kull- og brunkullbriketter"
"C.19.2.0.0","Produksjon av raffinerte petroleumsprodukter","### Shortname: Prod. raffinerte petroleumsprodukt

### Notes:
Inkluderer: Omfatter produksjon av flytende eller gassformige brenselsstoffer eller andre produkter fra råolje, bituminøse mineraler eller deres fraksjoneringsprodukter.  Mineraloljeraffinering omfatter en eller flere av følgende aktiviteter: fraksjonering, destillering av råolje og spalting; produksjon av motorbrennstoff: bensin, petroleum mv., produksjon av brennstoff: lett, middels og tung brenselolje, gassraffinering som f.eks. etan, propan, butan mv., oljebaserte smøreoljer eller -fett herunder spillolje, produksjon av produkter til den petrokjemiske industrien og til produksjon av veidekke, produksjon av diverse produkter: mineralsk terpentin, vaselin, parafin, råoljebriketter og blandinger av biobrenselstoff, dvs. blandinger av alkoholer med råolje (f.eks. en blanding av 90% blyfri bensin og 10% etylalkohol) Ekskluderer: Omfatter også torvbriketter, magre kull- og brunkullbriketter"
"C.20","Produksjon av kjemikalier og kjemiske produkter","### Shortname: Kjemisk industri

### Notes:
Inkluderer: Omfatter omdanning av organiske og uorganiske råmaterialer ved hjelp av en kjemisk prosess og danning av produkter. Det skilles mellom produksjon av basiskjemikalier som utgjør den første industrigruppen og produksjon av mellomprodukter og ferdige produkter som produseres ved en videre bearbeiding av basiskjemikalier som utgjør resten av industrigruppene"
"C.20.1","Produksjon av kjemiske råvarer, gjødsel og nitrogenforbindelser, basisplast og syntetisk gummi","### Shortname: Produksjon kjemiske råvarer mv."
"C.20.1.1","Produksjon av industrigasser","### Shortname: Industrigassproduksjon

### Notes:
Inkluderer: Omfatter produksjon av flytende eller komprimerte, uorganiske industrigasser eller medisinske gasser: usammensatte gasser, flytende eller komprimert luft, kjølegasser, blandede industrigasser, inaktive gasser som f.eks. kulldioksid og isoleringsgasser Ekskluderer: Utvinning av metan, etan, butan eller propan grupperes under: 06.20 Utvinning av naturgass. Produksjon av brenngasser som f.eks. etan, butan eller propan på et oljeraffineri grupperes under: 19.20 Produksjon av raffinerte petroleumsprodukter. Produksjon av gassformige brennstoffer fra kull, avfall mv. grupperes under: 35.21 Produksjon av gass"
"C.20.1.1.0","Produksjon av industrigasser","### Shortname: Industrigassproduksjon

### Notes:
Inkluderer: Omfatter produksjon av flytende eller komprimerte, uorganiske industrigasser eller medisinske gasser: usammensatte gasser, flytende eller komprimert luft, kjølegasser, blandede industrigasser, inaktive gasser som f.eks. kulldioksid og isoleringsgasser Ekskluderer: Utvinning av metan, etan, butan eller propan grupperes under: 06.20 Utvinning av naturgass. Produksjon av brenngasser som f.eks. etan, butan eller propan på et oljeraffineri grupperes under: 19.20 Produksjon av raffinerte petroleumsprodukter. Produksjon av gassformige brennstoffer fra kull, avfall mv. grupperes under: 35.21 Produksjon av gass"
"C.20.1.2","Produksjon av fargestoffer og pigmenter","### Shortname: Fargestoff- og pigmentproduksjon

### Notes:
Inkluderer: Omfatter produksjon av fargestoffer og pigmenter av ethvert materiale i ubearbeidet form eller i form av konsentrater Inkluderer også: Omfatter også produksjon av den type produkter som brukes som fluorescerende blekemidler eller som luminoforer Ekskluderer: Produksjon av tilberedte farger og pigmenter grupperes under: 20.30 Produksjon av maling og lakk, trykkfarger og tetningsmidler"
"C.20.1.2.0","Produksjon av fargestoffer og pigmenter","### Shortname: Fargestoff- og pigmentproduksjon

### Notes:
Inkluderer: Omfatter produksjon av fargestoffer og pigmenter av ethvert materiale i ubearbeidet form eller i form av konsentrater Inkluderer også: Omfatter også produksjon av den type produkter som brukes som fluorescerende blekemidler eller som luminoforer Ekskluderer: Produksjon av tilberedte farger og pigmenter grupperes under: 20.30 Produksjon av maling og lakk, trykkfarger og tetningsmidler"
"C.20.1.3","Produksjon av andre uorganiske kjemikalier","### Shortname: Uorganisk kjemikalieproduksjon el.

### Notes:
Inkluderer: Omfatter produksjon av kjemikalier ved hjelp av grunnleggende prosesser. (Produktene som framkommer ved disse prosessene er vanligvis separate kjemiske elementer eller separate kjemiskdefinerte forbindelser); kjemiske elementer (unntatt industrigasser og basismetaller), uorganiske syrer (unntatt salpetersyre), baser, lut og andre uorganiske baser (unntatt ammoniakk), og andre uorganiske forbindelser, røsting av svovelkis og produksjon av destillert vann Inkluderer også: Omfatter også berikelse av uran- og thoriummalm Ekskluderer: Produksjon av industrigasser grupperes under: 20.11 Produksjon av industrigasser. Produksjon av kvelstoffgjødning og nitrogenforbindelser grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av ammoniakk grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av ammoniumklorid grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av nitritter og nitrater av kalium grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av ammoniumkarbonater grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av aromatisk destillert vann grupperes under: 20.53 Produksjon av eteriske oljer. Produksjon av basismetaller grupperes under næring: 24 Produksjon av metaller"
"C.20.1.3.0","Produksjon av andre uorganiske kjemikalier","### Shortname: Uorganisk kjemikalieproduksjon el.

### Notes:
Inkluderer: Omfatter produksjon av kjemikalier ved hjelp av grunnleggende prosesser. (Produktene som framkommer ved disse prosessene er vanligvis separate kjemiske elementer eller separate kjemiskdefinerte forbindelser); kjemiske elementer (unntatt industrigasser og basismetaller), uorganiske syrer (unntatt salpetersyre), baser, lut og andre uorganiske baser (unntatt ammoniakk), og andre uorganiske forbindelser, røsting av svovelkis og produksjon av destillert vann Inkluderer også: Omfatter også berikelse av uran- og thoriummalm Ekskluderer: Produksjon av industrigasser grupperes under: 20.11 Produksjon av industrigasser. Produksjon av kvelstoffgjødning og nitrogenforbindelser grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av ammoniakk grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av ammoniumklorid grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av nitriter og nitrater av kalium grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av ammoniumkarbonater grupperes under: 20.15 Produksjon av gjødsel, nitrogenforbindelser og vekstjord. Produksjon av aromatisk destillert vann grupperes under: 20.53 Produksjon av eteriske oljer. Produksjon av basismetaller grupperes under næring: 24 Produksjon av metaller"
"C.20.1.4","Produksjon av andre organiske kjemiske råvarer","### Shortname: Annen org. kjemisk råvareproduksjon

### Notes:
Inkluderer: Omfatter fremstilling av kjemikalier ved hjelp av grunnleggende prosesser som f.eks. termisk krakning og destillasjon. Resultatet av disse prosessene er vanligvis separate kjemiske elementer eller separate kjemiskdefinerte forbindelser; produksjon av organiske basiskjemikalier: asykliske karbonhydrider, mettede og umettede, sykliske karbonhydrider, mettede og umettede, asykliske og sykliske alkoholer, mono- og polykarboksylsyrer, herunder eddiksyre, andre oksygenholdige forbindelser, herunder aldehyder, ketoner, kinoner, og to eller flere oksygenholdige forbindelser, syntetisk glyserol, organiske nitrogenholdige forbindelser, herunder aminer, gjæring av sukkerrør, mais eller lignende produksjon av alkohol og estere, andre organiske forbindelser, herunder tredestillasjonsprodukter (f.eks. trekull mv.), produksjon av syntetisk aromatiske produkter og destillasjon av kulltjære Ekskluderer: Produksjon av basisplast grupperes under: 20.16 Produksjon av basisplast. Produksjon av syntetisk gummi i primær form grupperes under: 20.17 Produksjon av syntetisk gummi. Produksjon av rå glyserol grupperes under: 20.41 Produksjon av såpe og vaskemidler, rense- og polérmidler. Produksjon av naturlige eteriske oljer grupperes under: 20.53 Produksjon av eteriske oljer. Produksjon av salicyl- og O-acetatsalicylsyrer grupperes under: 21.10 Produksjon av farmasøytiske råvarer"
"C.20.1.4.0","Produksjon av andre organiske kjemiske råvarer","### Shortname: Annen org. kjemisk råvareproduksjon

### Notes:
Inkluderer: Omfatter fremstilling av kjemikalier ved hjelp av grunnleggende prosesser som f.eks. termisk krakning og destillasjon. Resultatet av disse prosessene er vanligvis separate kjemiske elementer eller separate kjemiskdefinerte forbindelser; produksjon av organiske basiskjemikalier: asykliske karbonhydrider, mettede og umettede, sykliske karbonhydrider, mettede og umettede, asykliske og sykliske alkoholer, mono- og polykarboksylsyrer, herunder eddiksyre, andre oksygenholdige forbindelser, herunder aldehyder, ketoner, kinoner, og to eller flere oksygenholdige forbindelser, syntetisk glycerol, organiske nitrogenholdige forbindelser, herunder aminer, gjæring av sukkerrør, mais eller lignende produksjon av alkohol og estere, andre organiske forbindelser, herunder tredestillasjonsprodukter (f.eks. trekull mv.), produksjon av syntetisk aromatiske produkter og destillasjon av kulltjære Ekskluderer: Produksjon av basisplast grupperes under: 20.16 Produksjon av basisplast. Produksjon av syntetisk gummi i primær form grupperes under: 20.17 Produksjon av syntetisk gummi. Produksjon av rå glyserol grupperes under: 20.41 Produksjon av såpe og vaskemidler, rense- og polérmidler. Produksjon av naturlige eteriske oljer grupperes under: 20.53 Produksjon av eteriske oljer. Produksjon av salicyl- og O-acetatsalicylsyrer grupperes under: 21.10 Produksjon av farmasøytiske råvarer"
"C.20.1.5","Produksjon av gjødsel, nitrogenforbindelser og vekstjord","### Shortname: Gjødselproduksjon mv.

### Notes:
Inkluderer: Omfatter produksjon av gjødningsstoffer: ublandede eller blandede nitrogenholdige, fosforholdige eller kaliumholdige gjødningsstoffer, urinstoff, rå naturlige fosfater og rå naturlige kaliumsalter, produksjon av relaterte nitrogenprodukter: saltpeter- og nitrersyre, ammoniakk, ammoniumklorid, ammoniumkarbonat, nitritter og nitrater av kalium Ekskluderer: Utvinning av guano grupperes under: 08.91 Bryting og utvinning av kjemiske mineraler og gjødselsmineraler. Produksjon av landbrukskjemiske produkter som f.eks. pesticider grupperes under: 20.20 Produksjon av plantevern- og skadedyrmidler og andre landbrukskjemiske produkter"
"C.20.1.5.0","Produksjon av gjødsel, nitrogenforbindelser og vekstjord","### Shortname: Gjødselproduksjon mv.

### Notes:
Inkluderer: Omfatter produksjon av gjødningsstoffer: ublandede eller blandede nitrogenholdige, fosforholdige eller kaliumholdige gjødningsstoffer, urinstoff, rå naturlige fosfater og rå naturlige kaliumsalter, produksjon av relaterte nitrogenprodukter: saltpeter- og nitrersyre, ammoniakk, ammoniumklorid, ammoniumkarbonat, nitritter og nitrater av kalium Ekskluderer: Utvinning av guano grupperes under: 08.91 Bryting og utvinning av kjemiske mineraler og gjødselsmineraler. Produksjon av landbrukskjemiske produkter som f.eks. pesticider grupperes under: 20.20 Produksjon av plantevern- og skadedyrmidler og andre landbrukskjemiske produkter"
"C.20.1.6","Produksjon av basisplast","### Shortname: Basisplastproduksjon

### Notes:
Inkluderer: Omfatter produksjon av harpikser, plastmaterialer og ikke-vulkaniserte, termoplastiske elastomerer og blanding av harpikser på kundebasis så vel som ikke-kundespesifisert og produksjon av ikke-spesialiserte syntetiske harpikser; produksjon av plast i ubearbeidet form: polymerer, herunder polymerer av etylen, propylen, styren, vinylacetat, akryl, polyamider, fenol- og epoksyharpikser og polyurethaner, alkyd- og polyesterharpikser og polyethere, silikoner og ionbyttere på basis av polymerer Inkluderer også: Omfatter også produksjon av cellulose og dens kjemiske derivater Ekskluderer: Produksjon av kjemiske og syntetiske fibrer, filamenter og garn grupperes under: 20.60 Produksjon av kunstfibrer. Finsnitting av plastprodukter grupperes under: 38.32 Sortering og bearbeiding av avfall for materialgjenvinning"
"C.20.1.6.0","Produksjon av basisplast","### Shortname: Basisplastproduksjon

### Notes:
Inkluderer: Omfatter produksjon av harpikser, plastmaterialer og ikke-vulkaniserte, termoplastiske elastomerer og blanding av harpikser på kundebasis så vel som ikke-kundespesifisert og produksjon av ikke-spesialiserte syntetiske harpikser; produksjon av plast i ubearbeidet form: polymerer, herunder polymerer av etylen, propylen, styren, vinylacetat, akryl, polyamider, fenol- og epoksyharpikser og polyurethaner, alkyd- og polyesterharpikser og polyethere, silikoner og ionbyttere på basis av polymerer Inkluderer også: Omfatter også produksjon av cellulose og dens kjemiske derivater Ekskluderer: Produksjon av kjemiske og syntetiske fibrer, filamenter og garn grupperes under: 20.60 Produksjon av kunstfibrer. Finsnitting av plastprodukter grupperes under: 38.32 Sortering og bearbeiding av avfall for materialgjenvinning"
"C.20.1.7","Produksjon av syntetisk gummi","### Shortname: Produksjon av syntetisk gummi

### Notes:
Inkluderer: Omfatter produksjon av syntetisk gummi i ubearbeidet form: syntetisk gummi og faktis, produksjon av blandinger av syntetisk gummi og naturgummi eller gummilignende materiale (f.eks. balata)"
"C.20.1.7.0","Produksjon av syntetisk gummi","### Shortname: Produksjon av syntetisk gummi

### Notes:
Inkluderer: Omfatter produksjon av syntetisk gummi i ubearbeidet form: syntetisk gummi og faktis, produksjon av blandinger av syntetisk gummi og naturgummi eller gummilignende materiale (f.eks. balata)"
"C.20.2","Produksjon av plantevern- og skadedyrmidler og andre landbrukskjemiske produkter","### Shortname: Produksjon landbrukskjemiske prod."
