organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,forretningsadresse.adresse,forretningsadresse.poststed,forretningsadresse.postnummer,forretningsadresse.kommune,forretningsadresse.kommunenummer,forretningsadresse.land,forretningsadresse.landkode,institusjonellSektorkode.kode,institusjonellSektorkode.beskrivelse,sisteInnsendteAarsregnskap,registreringsdatoenhetsregisteret,stiftelsesdato,registrertIMvaRegisteret,frivilligMvaRegistrertBeskrivelser,registrertIFrivillighetsregisteret,registrertIForetaksregisteret,registrertIStiftelsesregisteret,konkurs,konkursdato,underAvvikling,underAvviklingDato,underTvangsavviklingEllerTvangsopplosning,tvangsopplostPgaManglendeDagligLederDato,tvangsopplostPgaManglendeRevisorDato,tvangsopplostPgaManglendeRegnskapDato,tvangsopplostPgaMangelfulltStyreDato,tvangsavvikletPgaManglendeSlettingDato,overordnetEnhet,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet
918420533,BYGGMESTER RICHARD FOSSER MINGE AS,AS,Aksjeselskap,41.2,Oppføring av bygninger,,,,,,,false,,,,,,,,,,Ingrids vei 29,TØNSBERG,3114,TØNSBERG,3905,Norge,NO,8200,Personlig næringsdrivende,2022,2014-01-21,2014-01-01,true,,false,true,false,false,,false,,false,,,,,,,Bokmål,01.01.2017,Tømrervirksomhet. Selskapet kan delta i andre selskaper med lignende virksomhet eller på annen måte gjøre seg interessert i andre foretagender.,Tømrervirksomhet.
929267486,REPPE GEIR RYTMISKE TJENESTER,ENK,Enkeltpersonforetak,90.011,Utøvende kunstnere og underholdningsvirksomhet innen musikk,,,,,,,false,,,,,,,,,,Stormyrvegen 9,FARSUND,4550,FARSUND,4206,Norge,NO,8200,Personlig næringsdrivende,,2014-05-28,,false,,false,false,false,false,,false,,false,,,,,,,Bokmål,,,Utleie av tjenester som musikant.
876278812,BOBILER AS,AS,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,,,,,,false,,,Skrubbenesvegen 82,BRATTHOLMEN,5350,ØYGARDEN,4626,Norge,NO,Brattholmen,BRATTHOLMEN,5350,ØYGARDEN,4626,Norge,NO,2100,Private aksjeselskaper mv.,2022,1996-04-16,1996-01-05,true,,false,true,false,false,,false,,false,,,,,,,Bokmål,2022-04-04,"Import, kjøp, salg og utleie av Biler/bobiler/båter/boliger og hva dermed står i naturlig forbindelse, herunder deltakelse i andre selskaper med lignende virksomhet.","Import, kjøp, salg og utleie av biler, bobiler, båter og boliger."
996294552,MYHRE ANLEGG & INDUSTRI AS,AS,Aksjeselskap,41.2,Oppføring av bygninger,,,,,,,true,30,,Pålerudbyen 84,HØNEFOSS,3516,RINGERIKE,3305,Norge,NO,Hensveien 180,HØNEFOSS,3516,RINGERIKE,3305,Norge,NO,7000,Ideelle organisasjoner,2022,2010-12-13,2010-12-03,true,Utleier av bygg eller anlegg,false,true,false,false,,false,,false,,,,,,,Bokmål,01.10.2023,"Anleggs- og entreprenørvirksomhet, håndverk- og industrivirksomhet, utleie av eiendom, maskiner og utstyr, transport av gods (innenlands), kursvirksomhet, kjøp, salg og reparasjoner av maskiner, biler og varer (herunder import og eksport) og det som naturlig hører dertil. Salg av klær, reklame, profileringsartikler, klestrykk m.m. Kjøp og salg av kosmetisk utstyr og artikler, kosmetiske tjenester, kroppspleie, kurs, frisørvirksomhet og det som naturlig hører dertil. I tillegg kommer kjøp og salg av fast eiendom og øvrige investeringer i aksjer og andre selskaper.","Anleggs- og entreprenørvirksomhet, håndverk- og industrivirksomhet, utleie av eiendom, maskiner og utstyr, transport av gods (innenlands), kursvirksomhet, kjøp, salg og reparasjoner av maskiner,biler og varer (herunder import og eksport) og det som naturlig hører dertil. I tillegg kommer kjøp og salg av fast eiendom og øvrige investeringer i aksjer og andre selskaper."
928554198,ENGEN DETALJHANDEL,AS,Aksjeselskap,68.209,Utleie av egen eller leid fast eiendom ellers,,,,,,,false,,,,,,,,,,Edvard Stangs gate 33,DRAMMEN,3014,DRAMMEN,3301,Norge,NO,8200,Personlig næringsdrivende,,2012-01-17,,false,,false,true,false,false,,false,,false,,,,,,,Bokmål,,,"Netthandel med diverse varer som klær og motetilbehør, slipsnåler, mansjettknapper og lignende. Generelle tjenester som for eksempel malerarbeid, hagearbeid og lignende."
976126637,DONNA CLASSICA AS,AS,Aksjeselskap,47.71,Butikkhandel med klær,,,,,,,true,9,,,,,,,,,Jupitervegen 2/nM44- Nedremarka,BRYNE,4340,TIME,1121,Norge,NO,2100,Private aksjeselskaper mv.,2022,1996-02-27,1996-02-15,true,,false,true,false,false,,false,,false,,,,,,,Bokmål,2000-08-10,"Handel med kosmetikk og annen handel, salg og kjøp av eiendom, tjennesteyting, utleie av enhver art, kjøp og salg av aksjer, og hva dermed står i forbindelse, herunder deltakelse i beslektet eller annen virksomhet.",Butikkhandel med kosmetikk.
