statId	name	statIddate	status	statusDate	website	addr1	addr2	addr3	addr_regionCode	P_addr1	P_addr2	P_addr3	P_addr_regionCode	sectorCode	legalForm	activity_code	activity_type	activity_year	Activity_employees	employees	NumOfEmp	employees_year	turnover	textCol1	textCol2	textCol3	firstname	middlename	lastname	sex	textCol4	textCol5
810098252	ODD FELLOW HUSET BODØ AS	1974-06-10	1	1995-02-19		Reinslettveien 2	8009	BODØ	1804	Postboks 241	8001	BODØ	1804	2100	AS	68.209	1	2022	6	7	8	2021	78045481	BODØ	NO	Norge	Utleie av egen eller leid fast eiendom ellers	NULL	NULL	N	AS	Aksjeselskap
810105372	SØRLANDSPORTEN EIENDOM AS	1973-12-14	1	1995-03-12		NULL	4994	AKLAND	0901					2100	AS	68.209	1	2022	0		0	2021	78045481	NULL	NULL	NULL	Utleie av egen eller leid fast eiendom ellers	NULL	NULL	N	AS	Aksjeselskap
810130822	ALSTRA AS	1973-12-17	1	1995-03-12		Homme	4990	SØNDELED	0901	Søndeledveien 805	4990	SØNDELED	0901	2100	AS	46.739	1	2022	4	5	6	2021	78045481	RISØR	NO	Norge	Engroshandel med byggevarer ikke nevnt annet sted	NULL	NULL	N	AS	Aksjeselskap
810182482	FAGMØBLER HERMAN ANDERSEN AS	1976-05-14	1	1995-02-19		Bergemoveien 40	4886	GRIMSTAD	0904					2100	AS	47.591	1	2022	4	5	6	2021	78045481	NULL	NULL	NULL	Butikkhandel med møbler	NULL	NULL	N	AS	Aksjeselskap
810202572	BORTIGARD AS	1975-06-04	1	1995-02-19		Løkkeveien 18	3085	HOLMESTRAND	0702					2100	AS	41.200	1	2022	0		0	2021	78045481	NULL	NULL	NULL	Oppføring av bygninger	NULL	NULL	N	AS	Aksjeselskap
810215542	AS SUNBYGG	1976-02-13	1	1995-02-19		Skogtun	1540	VESTBY	0211	Postboks 47	1541	VESTBY	0211	2100	AS	41.200	1	2022	0	1	2	2021	78045481	VESTBY	NO	Norge	Oppføring av bygninger	NULL	NULL	N	AS	Aksjeselskap
